term_name,definition,definition_source,definition_source_text,definition_source_link,related_terms,canonical_uri,widoco_link,source_version,source_timestamp,query_checksum
Theme Scheme,High-level thematic concept scheme for organizing DFO Salmon Ontology classes and concepts.,,,,,https://w3id.org/gcdfo/salmon#ThemeScheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#ThemeScheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Timing,Poor timing of surveys,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Timing,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Timing,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Trap Efficiency,Trap efficiency not measured/validated,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#TrapEfficiency,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#TrapEfficiency,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Type-1, True Abundance, high resolution","Total, seasonal counts through fence or fishway; virtually no bypass. Simple, often single step analysis. Reliable resolution of between year differences >10% (in absolute units).",,,,Escapement Estimate Type Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateTypeScheme]; Estimate Type (broader) [https://w3id.org/gcdfo/salmon#EstimateType],https://w3id.org/gcdfo/salmon#Type1,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Type1,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Type-2, True Abundance, medium resolution","Indirect estimate of total spawner abundance with qualified accuracy and known precision (i.e., a variance estimate—an explicit quantitative measure of uncertainty around the estimate). Derived from high-effort, standardized methods (e.g., mark-recapture, serial counts for area under the curve) with documented analytical conversions (including interpolation/calibration as needed). Reported in absolute units (estimate ± variance). Reliable resolution of between-year differences >25% (in absolute units).",,,,Escapement Estimate Type Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateTypeScheme]; Estimate Type (broader) [https://w3id.org/gcdfo/salmon#EstimateType],https://w3id.org/gcdfo/salmon#Type2,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Type2,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Type-3, Relative Abundance, high resolution","Relative abundance index (i.e., not an absolute count) derived from moderate to high effort surveys (typically 3 or more site visits) using standardized methods applied consistently between and within years (e.g., equal-effort surveys executed by walk, swim, overflight). Accuracy and precision are not fully quantified (i.e., no explicit variance estimate), but are assumed stable enough for within-series comparisons. Reliable resolution of between-year differences >25% (in relative units).",,,,Escapement Estimate Type Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateTypeScheme]; Estimate Type (broader) [https://w3id.org/gcdfo/salmon#EstimateType],https://w3id.org/gcdfo/salmon#Type3,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Type3,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Type-4, Relative Abundance, medium resolution","Low to moderate effort (1-4 trips), known survey method. Simple analysis by known methods. Reliable resolution of between year differences >200% (in relative units).",,,,Escapement Estimate Type Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateTypeScheme]; Estimate Type (broader) [https://w3id.org/gcdfo/salmon#EstimateType],https://w3id.org/gcdfo/salmon#Type4,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Type4,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Type-5, Relative Abundance, low resolution","Low effort (e.g. 1 trip), use of vaguely defined, inconsistent or poorly executed methods. Unknown to ill defined; inconsistent or poorly executed. Uncertain numeric comparisons, but high reliability for presence or absence.",,,,Escapement Estimate Type Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateTypeScheme]; Estimate Type (broader) [https://w3id.org/gcdfo/salmon#EstimateType],https://w3id.org/gcdfo/salmon#Type5,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Type5,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
"Type-6, Presence or Absence","Non-numeric, year-specific record of presence/not detected (i.e., present/absent without estimating a count), tied to an explicit time and location, with reliable species identification. Underlying field methods may be highly variable; analysis is not required.",,,,Escapement Estimate Type Scheme (inScheme) [https://w3id.org/gcdfo/salmon#EstimateTypeScheme]; Estimate Type (broader) [https://w3id.org/gcdfo/salmon#EstimateType],https://w3id.org/gcdfo/salmon#Type6,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Type6,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Uptime,Counting/device uptime < 95% (or <90% with interpolation),,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Uptime,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Uptime,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Visibility,Poor visibility conditions,,,,Downgrade Criteria (broader) [https://w3id.org/gcdfo/salmon#DowngradeCriteria]; Downgrade Criteria Scheme (inScheme) [https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme],https://w3id.org/gcdfo/salmon#Visibility,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#Visibility,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
Wild Salmon Policy,"Conservation Unit based stock assessment methods, metrics, and metadata",,,,Theme Scheme (inScheme) [https://w3id.org/gcdfo/salmon#ThemeScheme],https://w3id.org/gcdfo/salmon#WildSalmonPolicyTheme,https://dfo-pacific-science.github.io/dfo-salmon-ontology/#WildSalmonPolicyTheme,243fa9b201bb4ae77778d85ccbb43e6ab4b18e73,2026-02-17T19:15:17.399367+00:00,dffb654309c09caaa45b55b1e20d7699a93ef0bf7338e8a9f3db5f4ea327400f
